Obsah,Název videa,Čas zveřejnění videa,Délka,Zhlédnutí
Celkem,,,,26787
rmRH1cmXSUc,Karel Hádek – Čtení o staré Praze | Kapitola 21: O městských privilegiích,"Jan 4, 2026",836,924
 -NAvlXIqYdA,Kouzelný stůl 2. díl | Experimenty v barokní kuchyni,"Mar 13, 2026",4004,915
DKe-KHHFig0,Lesní studánka – Josef Václav Sládek | Mozaika české poezie: Příběhy a obrazy,"Mar 13, 2026",75,904
TWI2C4FTrAI,Komiksové studio #1 s Guyem Delislem,"Jan 21, 2026",1952,697
qUNq-foQEHQ,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 7: Podivuhodný příběh Karla Straširybky,"Aug 15, 2025",1487,630
VVUPQPEsE2g,Karel Poláček – Čtrnáct dní na vojně | Část 1.,"Aug 30, 2025",1433,551
7IITST4jEjw,Komiksové studio #2  se Štěpánkou Jislovou,"Mar 23, 2026",5910,516
nwxBsjIHJbA,Kouzelný stůl 1. díl | Restaurování barokní kuchyně Bellarie,"Mar 9, 2026",3203,495
 -IwTZm_R5S4,Mariánská listování s manželi Tichotovými - 9. díl,"Dec 8, 2025",3566,483
KYpcek7QPFY,Karel Hádek – Čtení o staré Praze | Kapitola 1: O kapli Betlémské,"Sep 26, 2025",893,467
GpgrN9znRiI,Splav – Fráňa Šrámek | Mozaika české poezie: Příběhy a obrazy,"Mar 13, 2026",156,451
Rr7Xp8TrBc0,Karel Hádek – Čtení o staré Praze | Kapitola 24: O čtyřech oběšencích,"Jan 25, 2026",1074,439
tyeTgBeblV8,Poštovní schránka – Jiří Wolker | Mozaika české poezie: Příběhy a obrazy,"Mar 13, 2026",87,434
Nuj2OJc-uv4,Karel Hádek – Čtení o staré Praze | Kapitola 16: Panna Maria kontra Jiří z Poděbrad,"Nov 30, 2025",439,429
DQt62kFZ11I,Karel Poláček – Čtrnáct dní na vojně | Část 2.,"Sep 6, 2025",1330,394
hoTzA-Fb2c0,Karel Hádek – Čtení o staré Praze | Kapitola 2: Slavnost v Kanálské zahradě,"Sep 26, 2025",513,378
yPe7nxIwb7E,Mariánská listování s Helenou Koutnou - 2. díl,"Jun 30, 2025",1650,377
QZbFYVq709k,Visiolibrum – Umění ve virtuální galerii,"Jun 23, 2025",1127,351
qxIPWMaO3W8,Komiksové studio #3 s Branko Jelinkem,"Apr 29, 2026",4666,341
57YYqkTp23k,Karel Hádek – Čtení o staré Praze | Kapitola 8: Pražské Jezulátko,"Oct 12, 2025",702,321
L15ImNClsn8,Mariánská listování s Ivanou Bozděchovou - 3.díl,"Jul 14, 2025",2912,321
KWUvYzbxDGA,Byl Adolf Hitler komunista?,"Jan 30, 2026",1036,316
vyBd7nzLoG0,"Literatura, jazyky a cestování – Miroslav Černý | Pestrá země","Oct 13, 2025",1715,307
DJZlngrgbZ0,Svou violu jsem naladil co možno nejhlouběji – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,"Mar 13, 2026",304,294
m7jS3vfTbr8,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 4: Ze zašlých dob,"Aug 15, 2025",2789,289
9SBF4GO_QhM,Karel Poláček – Čtrnáct dní na vojně | Část 3.,"Sep 13, 2025",1250,284
 -SQzK929npM,Arnošt Lustig 100 let – Eva Lustigová | Pestrá země: Rozhovor ke 100. výročí,"May 15, 2026",2283,281
uQGvTZSqxb0,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 1: Tři mrtvoly ve sklepě,"Aug 15, 2025",1099,281
ukwDA_rTcKo,Jan Křesadlo – Václav Z. J. Pinkava | Pestrá země,"Dec 24, 2025",3024,277
YFBLQCVyJK4,Kouzelný stůl 3. díl | Conrad Hagger ornamentální paštiky a dekorativní marcipán,"Mar 20, 2026",3399,251
x9s2pglzA8Y,Karel Hádek – Čtení o staré Praze | Kapitola 13: O domě vusínském aneb redutním,"Nov 9, 2025",452,242
NlUN6_OqCc4,Karel Hádek – Čtení o staré Praze | Kapitola 17: Nejkrásnější knihovna světa,"Dec 7, 2025",579,239
aa-m1jhdlY4,Fónická poezie a autofikce – Pavel Novotný | Pestrá země,"Feb 23, 2026",1926,237
WKwwjbq3GV0,Karel Poláček – Čtrnáct dní na vojně | Část 4.,"Sep 22, 2025",1237,230
asVUURTl2L8,"Mouchy, Maribor a fotbalové metafory – Dora Kaprálová | Pestrá země","Apr 24, 2026",1393,229
yH2Z5MORERw,Kouzelný stůl 4. díl | Znovuzrození kouzelného stolu – jak jsme oživili barokní mechanismus,"Apr 1, 2026",3546,227
aO9IwLwZrMs,Karel Hádek – Čtení o staré Praze | Kapitola 4: Pověsti o Staronové škole,"Sep 28, 2025",568,225
Vxebi-BnYh4,Mariánská listování s Rudym Linkou - 6. díl,"Sep 8, 2025",3136,224
_-LTRQJyC4Y,Karel Hádek – Čtení o staré Praze | Kapitola 25: Život vojenský – život veselý,"Feb 1, 2026",890,223
ofLrbidTUik,Mariánská listování: Česká škola v Chicagu - 5. díl,"Sep 1, 2025",2470,223
itaqj40lnlg,"Virtuální realita z pohledu kulturní antropologie, Korea ve VR","Jan 26, 2026",1816,221
lKfxKZTVHzE,Virtuální realita a prevence kriminality – Missing 10 Hours,"Jul 21, 2025",1519,219
2-7AMKqBPdg,Virtuální realita: Open Brush – malování v 3D prostoru,"Dec 22, 2025",2672,218
0KNr2DOZalM,Karel Hádek – Čtení o staré Praze | Kapitola 15: Dopis z roku 1819,"Nov 23, 2025",820,216
6KlLyNPsbdk,Karel Hádek – Čtení o staré Praze | Kapitola 3: O tandlmarku,"Sep 26, 2025",777,215
HFtm9FvXsaU,Karel Hádek – Čtení o staré Praze | Kapitola 6: Zahrady za Koňskou branou,"Oct 5, 2025",580,210
_VAzd9St5aI,Virtuální město: trénink paměti a kognitivních funkcí pro seniory,"Oct 29, 2025",1460,209
PL2W_cIVVmk,"Kafka, poezie a vlastní jazyk  – Alžběta Stančáková:  | Pestrá země","Jun 11, 2026",1652,202
MKOIRfltl6Y,Karel Hádek – Čtení o staré Praze | Kapitola 23: Móda ve středověké Praze,"Jan 18, 2026",734,192
qrhzr3ZhuWE,MLP HUB: Virtuální knihovna v Praze ve VRChat,"Sep 29, 2025",2921,183
soerao-Racs,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 2: Boží prsty,"Aug 15, 2025",642,180
Y_zv4fFP4kU,Karel Hádek – Čtení o staré Praze | Kapitola 7: O Valdštejnském paláci,"Oct 5, 2025",775,175
wmdeM6zx9Ds,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 8: Duch nebožtíka Hroudy,"Aug 18, 2025",641,175
REqtbU6wDRQ,Algoritmus kávy – Petr Šimeček | Z-ai-mavý spisovatel,"Feb 15, 2026",501,173
9R7jfBwHP9Y,Karel Hádek – Čtení o staré Praze | Kapitola 26: Pražská móda empírová,"Feb 8, 2026",730,171
qrTWu3MWb98,Mariánská listování  s Dušanem Neumannem - 11. díl,"Feb 9, 2026",2900,171
PW2RprOSYgM,Karel Hádek – Čtení o staré Praze | Kapitola 18: Jak byl obnovován magistrát,"Dec 14, 2025",657,170
gdtJ97T8Kf8,Karel Hádek – Čtení o staré Praze | Kapitola 5: Barvířský ostrov,"Sep 28, 2025",620,170
ULLgm1FrVUI,Karel Hádek – Čtení o staré Praze | Kapitola 22: Nejkrásnější hřbitůvek,"Jan 11, 2026",513,169
sF9A4D-OZvc,Hanuš Hackenschmied – U ledové víly | Kapitola 1: O třech princeznách v Modré hoře,"Oct 5, 2025",2705,169
0e1mFrmPUcg,Virtuální realita v tréninku náročné komunikace,"Aug 25, 2025",2380,168
as-bcT6bn6c,Mariánská listování s Pavlem Suchanem - 8. díl,"Oct 21, 2025",2599,167
pDa4uxjPcn8,Toman a lesní panna – František Ladislav Čelakovský | Mozaika české poezie: Příběhy a obrazy,"Jun 8, 2026",404,158
