Obsah,Název videa,Čas zveřejnění videa,Délka,Zhlédnutí
m7jS3vfTbr8,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 4: Ze zašlých dob,"Aug 15, 2025",2789,291
uQGvTZSqxb0,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 1: Tři mrtvoly ve sklepě,"Aug 15, 2025",1099,289
9SBF4GO_QhM,Karel Poláček – Čtrnáct dní na vojně | Část 3.,"Sep 13, 2025",1250,285
ukwDA_rTcKo,Jan Křesadlo – Václav Z. J. Pinkava | Pestrá země,"Dec 24, 2025",3024,282
vFih6GUiDWE,Karel Hádek – Čtení o staré Praze | Kapitola 38: Staropražan vypravuje,"Jun 28, 2026",2961,276
YFBLQCVyJK4,Kouzelný stůl 3. díl | Conrad Hagger ornamentální paštiky a dekorativní marcipán,"Mar 20, 2026",3399,255
asVUURTl2L8,"Mouchy, Maribor a fotbalové metafory – Dora Kaprálová | Pestrá země","Apr 24, 2026",1393,254
x9s2pglzA8Y,Karel Hádek – Čtení o staré Praze | Kapitola 13: O domě vusínském aneb redutním,"Nov 9, 2025",452,243
aa-m1jhdlY4,Fónická poezie a autofikce – Pavel Novotný | Pestrá země,"Feb 23, 2026",1926,241
NlUN6_OqCc4,Karel Hádek – Čtení o staré Praze | Kapitola 17: Nejkrásnější knihovna světa,"Dec 7, 2025",579,240
PL2W_cIVVmk,"Kafka, poezie a vlastní jazyk  – Alžběta Stančáková:  | Pestrá země","Jun 11, 2026",1652,234
yH2Z5MORERw,Kouzelný stůl 4. díl | Znovuzrození kouzelného stolu – jak jsme oživili barokní mechanismus,"Apr 1, 2026",3546,233
ofLrbidTUik,Mariánská listování: Česká škola v Chicagu - 5. díl,"Sep 1, 2025",2470,232
Vxebi-BnYh4,Mariánská listování s Rudym Linkou - 6. díl,"Sep 8, 2025",3136,231
WKwwjbq3GV0,Karel Poláček – Čtrnáct dní na vojně | Část 4.,"Sep 22, 2025",1237,230
aO9IwLwZrMs,Karel Hádek – Čtení o staré Praze | Kapitola 4: Pověsti o Staronové škole,"Sep 28, 2025",568,227
_-LTRQJyC4Y,Karel Hádek – Čtení o staré Praze | Kapitola 25: Život vojenský – život veselý,"Feb 1, 2026",890,225
itaqj40lnlg,"Virtuální realita z pohledu kulturní antropologie, Korea ve VR","Jan 26, 2026",1816,225
2-7AMKqBPdg,Virtuální realita: Open Brush – malování v 3D prostoru,"Dec 22, 2025",2672,224
lKfxKZTVHzE,Virtuální realita a prevence kriminality – Missing 10 Hours,"Jul 21, 2025",1519,221
0KNr2DOZalM,Karel Hádek – Čtení o staré Praze | Kapitola 15: Dopis z roku 1819,"Nov 23, 2025",820,217
6KlLyNPsbdk,Karel Hádek – Čtení o staré Praze | Kapitola 3: O tandlmarku,"Sep 26, 2025",777,216
pDa4uxjPcn8,Toman a lesní panna – František Ladislav Čelakovský | Mozaika české poezie: Příběhy a obrazy,"Jun 8, 2026",404,216
_VAzd9St5aI,Virtuální město: trénink paměti a kognitivních funkcí pro seniory,"Oct 29, 2025",1460,211
HFtm9FvXsaU,Karel Hádek – Čtení o staré Praze | Kapitola 6: Zahrady za Koňskou branou,"Oct 5, 2025",580,210
MKOIRfltl6Y,Karel Hádek – Čtení o staré Praze | Kapitola 23: Móda ve středověké Praze,"Jan 18, 2026",734,194
qrTWu3MWb98,Mariánská listování  s Dušanem Neumannem - 11. díl,"Feb 9, 2026",2900,188
qrhzr3ZhuWE,MLP HUB: Virtuální knihovna v Praze ve VRChat,"Sep 29, 2025",2921,186
soerao-Racs,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 2: Boží prsty,"Aug 15, 2025",642,183
Y_zv4fFP4kU,Karel Hádek – Čtení o staré Praze | Kapitola 7: O Valdštejnském paláci,"Oct 5, 2025",775,176
wmdeM6zx9Ds,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 8: Duch nebožtíka Hroudy,"Aug 18, 2025",641,176
REqtbU6wDRQ,Algoritmus kávy – Petr Šimeček | Z-ai-mavý spisovatel,"Feb 15, 2026",501,175
9R7jfBwHP9Y,Karel Hádek – Čtení o staré Praze | Kapitola 26: Pražská móda empírová,"Feb 8, 2026",730,174
gdtJ97T8Kf8,Karel Hádek – Čtení o staré Praze | Kapitola 5: Barvířský ostrov,"Sep 28, 2025",620,174
as-bcT6bn6c,Mariánská listování s Pavlem Suchanem - 8. díl,"Oct 21, 2025",2599,172
PW2RprOSYgM,Karel Hádek – Čtení o staré Praze | Kapitola 18: Jak byl obnovován magistrát,"Dec 14, 2025",657,170
ULLgm1FrVUI,Karel Hádek – Čtení o staré Praze | Kapitola 22: Nejkrásnější hřbitůvek,"Jan 11, 2026",513,170
sF9A4D-OZvc,Hanuš Hackenschmied – U ledové víly | Kapitola 1: O třech princeznách v Modré hoře,"Oct 5, 2025",2705,169
0e1mFrmPUcg,Virtuální realita v tréninku náročné komunikace,"Aug 25, 2025",2380,168
G6J-4Mg-FkE,Karel Hádek – Čtení o staré Praze | Kapitola 19: O nebožce lotynce,"Dec 21, 2025",968,156
wXjThAEkDTE,Mariánská listování se Zdeňkem Juráskem: 250 let USA a 100 let Route 66 – 16. díl,"Jun 29, 2026",2806,156
pOiwKBlaaEM,Staré pověsti pražské – Adolf Wening | Povídka 11: O domě U Křížku,"Jul 19, 2026",636,154
OcSPbpkVr7g,Karel Hádek – Čtení o staré Praze | Kapitola 10: Dva starobylé domy malostranské,"Oct 26, 2025",895,153
RcPjb2CCsEA,Soumrak u moře – Viktor Dyk | Mozaika české poezie: Hlasy a otázky,"Jun 12, 2026",228,152
iyl9PKDGaL8,Pršelo v noci – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,"Apr 10, 2026",293,150
dZvtoVYtN30,Za noci březnové – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,"Apr 10, 2026",219,148
AZfRuni3yoo,Balada dětská – Jan Neruda | Mozaika české poezie: Příběhy a obrazy,"Mar 26, 2026",128,147
9cvALuTe_wE,Mariánská listování s Ester Pavlů - 15. díl,"Jun 1, 2026",2792,145
k_b1irMvpLw,Mariánská listování s Ivanem Pušem - 13.díl,"Apr 8, 2026",1969,145
tSSFpdBACYM,Karel Hádek – Čtení o staré Praze | Kapitola 20: Vánoce! Vánoce!,"Dec 29, 2025",705,144
S2evx5SdTcU,Literární rezidence a alternativní scéna – Hana Lundiaková | Pestrá země,"Dec 5, 2025",1358,143
qaOtolrVbXQ,Ruce – Otokar Březina | Mozaika české poezie: Hlasy a otázky,"Mar 26, 2026",295,143
0BcyKP663vg,Mariánská listování s Michalem Brožou - 10. díl,"Jan 19, 2026",3409,141
xlAPcPNNi1g,Z věčných dálek – Otokar Březina | Mozaika české poezie: Hlasy a otázky,"May 7, 2026",304,137
jFXRfxhuNVs,Karel Hádek – Čtení o staré Praze | Kapitola 9: Paladium země České,"Oct 19, 2025",482,136
o-4LbeU8P5s,Jak virtuální realita pomáhá seniorům i pečovatelům | 10. díl,"Mar 30, 2026",2383,133
xl9DZdM0ch4,Karel Hádek – Čtení o staré Praze | Kapitola 34: Bombardování Prahy Windischgrätzem,"Apr 5, 2026",446,131
BUGJAYMkz2I,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 3: Chocholouš,"Aug 15, 2025",589,130
DtxuxoBVezQ,Mariánská listování se Zdeňkem Pokludou - 14. díl,"May 4, 2026",2972,128
H6bRm_nc4pk,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 9: Jak vraždila rakouská byrokracie naše nejl...,"Aug 23, 2025",497,126
QUby9009nkw,Karel Hádek – Čtení o staré Praze | Kapitola 14: Papouškové lázně,"Nov 16, 2025",522,126
DxL68eD0uNk,"Virtuální realita, film a knihovny – Ondřej Moravec | Díl 9","Feb 25, 2026",3245,124
VsjXpJi6K8I,Karel Hádek – Čtení o staré Praze | Kapitola 31: O té velké vodě,"Mar 15, 2026",899,124
Hj1PdaUnadE,Práce – Josef Hora | Mozaika české poezie: Příběhy a obrazy,"Apr 23, 2026",153,123
WLG1Sdh_Wvk,Karel Hádek – Čtení o staré Praze | Kapitola 32: Praha 1855,"Mar 22, 2026",506,123
sj34fxvAXEY,Rehabilitace ve virtuální realitě,"Nov 20, 2025",1327,123
1kvk95w0Qjs,Mariánská listování s Janem Smigmatorem - 7. díl,"Sep 23, 2025",2242,122
xPgLt1FdYCI,V pravěkém světě – Arnošt Caha | Kapitola 1: Cestou k jeskyni,"May 25, 2026",682,118
X_mmgnMYENQ,Karel Hádek – Čtení o staré Praze | Kapitola 33: Kocourkovské příběhy,"Mar 29, 2026",1261,117
6GhXoPfo5P4,Karel Hádek – Čtení o staré Praze | Kapitola 11: Židovský průvod,"Oct 26, 2025",685,116
9uTcAobSr0Y,Apostrofa zimní – Otokar Březina | Mozaika české poezie: Hlasy a otázky,"Apr 23, 2026",342,114
2zi5mkm5e4Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 6: Plavba paní Suchánkové do Ameriky,"Aug 15, 2025",1207,113
mg3XQat7GFU,V pravěkém světě – Arnošt Caha | Kapitola 7: Ve světě karbonu,"Jun 26, 2026",1007,107
o0ewA8rKR8o,VR Quide me - objevte historii Prahy od minulosti až po součastnost I 12. díl,"May 26, 2026",2106,107
m3TgaugXTRY,Mariánská listování s Evou Chodějovskou - 4.díl,"Aug 18, 2025",2344,105
X8SSXyw4Xns,V pravěkém světě – Arnošt Caha | Kapitola 14: Lov na mamuta,"Jul 5, 2026",1920,102
XYdOF5w8P1A,Virtuální realita: KineDok a dokumentární film | 11. díl,"Apr 27, 2026",2552,102
lOJhJ_QZIc8,Karel Hádek – Čtení o staré Praze | Kapitola 35: Zlatá bula ztracena a opět nalezena,"Apr 12, 2026",568,102
uPNt0CRWkcs,Lucifer – Jiří Karásek ze Lvovic | Mozaika české poezie: Hlasy a otázky,"Jun 25, 2026",405,101
HMIjm7wkr3k,Karel Hádek – Čtení o staré Praze | Kapitola 27: Zpěváčkové,"Feb 15, 2026",852,98
GG4Ds2IAIKY,Karel Hádek – Čtení o staré Praze | Kapitola 37: Pět zajímavých epitafů,"Apr 26, 2026",455,97
p81-DGUXFtI,Nacistická propaganda v ČSR,"Dec 2, 2025",1580,97
0nwGiePljtg,Karel Hádek – Čtení o staré Praze | Kapitola 12: Pražské písně lidu vojenského,"Nov 2, 2025",597,94
doM1cVRZvIA,V pravěkém světě – Arnošt Caha | Kapitola 5: Na prahu pravěkého světa,"Jun 7, 2026",1639,94
h3L6qzI-Q-A,Mariánská listování s Helenou Koenigsmarkovou - 12. díl,"Mar 2, 2026",3081,92
n-8Dmo-g_0I,Karel Hádek – Čtení o staré Praze | Kapitola 28: Jak přijel do Prahy první vlak,"Feb 22, 2026",773,91
G23iqulol6Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 5: Němá láska poručíka Klanga,"Aug 15, 2025",1287,90
NCRg659vK0E,Poutník – Otakar Theer | Mozaika české poezie: Hlasy a otázky,"Jun 2, 2026",195,90
t04WykqxoOA,Samostatná Ukrajina,"Dec 2, 2025",1473,89
vmhs0_jqo5k,Karel Hádek – Čtení o staré Praze | Kapitola 30: Rychtář Vavák vidí korunovaci Leopolda II.,"Mar 8, 2026",567,89
FGJq-zFE2HI,Staré pověsti pražské – Adolf Wening | Povídka 5: O kostele svatojakubském,"Jul 8, 2026",663,84
aIpLdxcelt4,Karel Hádek – Čtení o staré Praze | Kapitola 29: Blahořečení Jana Nepomuckého,"Mar 1, 2026",843,84
Usb5zLIREWY,Byl Adolf Hitler komunista?,"Dec 2, 2025",1037,81
ipa-RoUzQcg,"Karel Hádek – Čtení o staré Praze | Kapitola 36: Seance, nebo senzace?","Apr 20, 2026",580,80
P1BkexqKMdg,Staré pověsti pražské – Adolf Wening | Povídka 14: O kapli svatého Kříže,"Jul 23, 2026",337,78
0u-_WJwG2FM,V pravěkém světě – Arnošt Caha | Kapitola 6: V devonu,"Jun 7, 2026",1233,77
5oc_8nGj1aM,Staré pověsti pražské – Adolf Wening | Povídka 1: O Staroměstském náměstí,"Jul 1, 2026",732,76
c-mZhholZOA,Přiznání algoritmu – Michaela Liegertová | Z-ai-mavý spisovatel,"Feb 8, 2026",555,74
8AgXCEb7maU,Poslední svobodné volby,"Dec 2, 2025",1432,71
8IpVfWvpu3M,Domovní důvěrník 2.0 – Jiří Krišpin | Z-ai-mavý spisovatel,"Feb 8, 2026",444,67
AajGnpekZ_Y,Staré pověsti pražské – Adolf Wening | Povídka 3: O chrámě Týnském,"Jul 1, 2026",863,67
yiiYJE8aZNo,Žlutá růže – Viktor Dyk | Mozaika české poezie: Hlasy a otázky,"Jul 27, 2026",145,67
e_fEn3QC264,Temná druhá republika,"Dec 2, 2025",1318,64
tcRmifYNZDc,Hledání slov – Jana Šindlerová | Z-ai-mavý spisovatel,"Feb 22, 2026",622,64
7VDP57n-uBU,Staré pověsti pražské – Adolf Wening | Povídka 8: O Karolinu,"Jul 12, 2026",871,63
CFzf8rpeIBo,Staré pověsti pražské – Adolf Wening | Povídka 6: O řeznících staroměstských,"Jul 8, 2026",568,61
UiyFjVwVBRM,Staré pověsti pražské – Adolf Wening | Povídka 4: O paláci Kinských,"Jul 1, 2026",377,61
hZDWn31vCKY,Staré pověsti pražské – Adolf Wening | Povídka 12: O domě U Betenglů,"Jul 19, 2026",286,61
oF8g3JV4ARE,Staré pověsti pražské – Adolf Wening | Povídka 10: O Platýze,"Jul 15, 2026",261,60
rpJGAYVQI5Y,Já nejsem vichr – Otokar Fischer | Mozaika české poezie: Hlasy a otázky,"Jul 4, 2026",173,60
0snGjy6nrio,V pravěkém světě – Arnošt Caha | Kapitola 3: V pohádkovém světě,"May 31, 2026",819,56
s6jDGlg0TH4,Podivnější než fikce – Vendula Kreplová | Z-ai-mavý zločin,"Jun 10, 2026",554,56
7kZevziNBKk,Staré pověsti pražské – Adolf Wening | Povídka 2: O staroměstském orloji,"Jul 1, 2026",876,55
e2WIPNlQH7U,A přece! – Otokar Fischer | Mozaika české poezie: Hlasy a otázky,"Jul 8, 2026",255,54
P4kgldNMUxs,Staré pověsti pražské – Adolf Wening | Povídka 9: O kotcích,"Jul 15, 2026",474,52
C_USK8BE-G4,V pravěkém světě – Arnošt Caha | Kapitola 2: Na pravěkém hřbitově,"May 31, 2026",1374,50
Zu4j_DVvi6c,Rizikové povolání – Tereza Kovanicová | Z-ai-mavý zločin,"Jun 4, 2026",530,49
FNFMHn8GPns,Smyčka osudu – Michaela Liegertová | Z-ai-mavý zločin,"Jun 19, 2026",508,48
6Fb0XbUqfOk,Staré pověsti pražské – Adolf Wening | Povídka 15: O klášteře sv. Anny,"Jul 26, 2026",288,44
Mw35DLBp0v4,Staré pověsti pražské – Adolf Wening | Povídka 16: O zjevení templáře v Liliové ulici,"Jul 26, 2026",225,40
vo49ZpMGyak,V pravěkém světě – Arnošt Caha | Kapitola 4: Pohřbeni zaživa,"May 31, 2026",1058,39
kOgMBL391wg,V pravěkém světě – Arnošt Caha | Kapitola 10: Objevuje se dvounožec,"Jun 28, 2026",1733,38
G2TYdnnolL4,V pravěkém světě – Arnošt Caha | Kapitola 15: V pravěké obrazárně,"Jul 5, 2026",1669,36
areKoQHEVZc,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,"Dec 2, 2025",1351,34
o-HTU2g2_aE,V pravěkém světě – Arnošt Caha | Kapitola 12: Chlupatí kamarádi,"Jul 5, 2026",1330,31
Tw_odLP-Lh8,Staré pověsti pražské – Adolf Wening | Povídka 18: O Králově lázni,"Jul 29, 2026",584,29
YEA3UNrqJz4,Galantní slavnost – Karel Toman | Mozaika české poezie: Hlasy a otázky,"Jul 27, 2026",217,29
isdNp7b3Xyw,V pravěkém světě – Arnošt Caha | Kapitola 8: Ve světě draků a příšer,"Jun 28, 2026",1310,29
QV7pnY2RBcE,V pravěkém světě – Arnošt Caha | Kapitola 9: Obludy ještě nezmizely,"Jun 28, 2026",1648,28
eAA21bkdz2U,V pravěkém světě – Arnošt Caha | Kapitola 13: Pravěcí gladiátoři,"Jul 5, 2026",1616,27
gTlbeguug1k,V pravěkém světě – Arnošt Caha | Kapitola 20: Zpátky u maminky,"Jul 12, 2026",1158,27
r7Pxup78e5A,Staré pověsti pražské – Adolf Wening | Povídka 13: O domě U Tří divých,"Jul 23, 2026",261,25
z13JpayVpjU,V pravěkém světě – Arnošt Caha | Kapitola 16: Hrůzy bílé smrti,"Jul 12, 2026",952,25
ZSqd2FFQj68,V pravěkém světě – Arnošt Caha | Kapitola 11: První lidé,"Jul 5, 2026",1592,23
UKTFVRRV3VE,Staré pověsti pražské – Adolf Wening | Povídka 7: O domě U Hrubého muže,"Jul 12, 2026",257,21
S7UN51rnoj8,V pravěkém světě – Arnošt Caha | Kapitola 18: Na hranici,"Jul 12, 2026",944,19
 -qtm3RDurSU,V pravěkém světě – Arnošt Caha | Kapitola 17: V nákolní osadě,"Jul 12, 2026",1940,15
lF3M7yZTPhk,"V pravěkém světě – Arnošt Caha | Kapitola 19: Sbohem, pravěký světe","Jul 12, 2026",1629,15
Se5iWOme5yA,Staré pověsti pražské – Adolf Wening | Povídka 17: O staroměstských mlýnech,"Jul 29, 2026",264,14
