PodcastName,EpisodeName,PublishDate,Downloads
Historie mezi řádky,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,11/03/2022 08:10:18 UTC,684
Historie mezi řádky,Španělská občanská válka,09/15/2022 06:53:53 UTC,637
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? I. část,07/21/2022 06:25:34 UTC,597
Historie mezi řádky,Čeští Němci v roce 1918,09/29/2022 06:57:43 UTC,446
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? II. část,08/04/2022 06:45:07 UTC,416
Historie mezi řádky,Samostatná Ukrajina,11/15/2025 11:00:00 UTC,416
Historie mezi řádky,Československá kolonie Togo – mýtus nebo skutečnost?,08/18/2022 06:48:47 UTC,391
Historie mezi řádky,Kudy povedou hranice republiky?,10/20/2022 07:01:46 UTC,386
Historie mezi řádky,Generál Josef Šnejdárek - velitel senegalských lidojedů,10/06/2022 06:59:50 UTC,376
Historie mezi řádky,Od Královce ke Kaliningradu,09/01/2022 06:52:41 UTC,356
Historie mezi řádky,Byl Adolf Hitler komunista?,11/07/2025 11:25:57 UTC,341
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 1: Tři mrtvoly ve sklepě,06/25/2025 03:34:41 UTC,296
Historie mezi řádky,Temná druhá republika,11/13/2025 11:00:21 UTC,284
Historie mezi řádky,Poslední svobodné volby,11/14/2025 11:00:49 UTC,257
Historie mezi řádky,Nacistická propaganda v ČSR,11/12/2025 09:36:47 UTC,254
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 2: Boží prsty,06/26/2025 09:50:32 UTC,88
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 4: Pověsti o Staronové škole,09/28/2025 10:00:36 UTC,87
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 4: Ze zašlých dob,07/21/2025 10:11:48 UTC,83
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 1: O kapli Betlémské,09/26/2025 10:00:51 UTC,82
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 1.,08/30/2025 10:00:30 UTC,67
Mariánská listování,Mariánská listování s Ivanou Bozděchovou - 3. díl,07/15/2025 09:49:01 UTC,61
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 3: Chocholouš,07/14/2025 10:09:21 UTC,61
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 2: Slavnost v Kanálské zahradě,09/26/2025 10:00:18 UTC,61
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 5: Barvířský ostrov,09/28/2025 10:00:40 UTC,57
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 3: O tandlmarku,09/26/2025 10:00:48 UTC,52
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 5: Němá láska poručíka Klanga,07/28/2025 10:26:58 UTC,51
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 8: Pražské Jezulátko,10/12/2025 10:00:28 UTC,51
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 11: Židovský průvod,10/26/2025 11:00:28 UTC,51
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 2.,09/06/2025 10:00:18 UTC,49
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 6: Zahrady za Koňskou branou,10/05/2025 10:00:29 UTC,48
Mariánská listování,Mariánská listovaní s Kristýnou Kůstkovou - 1. díl,06/24/2025 09:23:25 UTC,47
Mariánská listování,Mariánská listování s Helenou Koutnou - 2. díl,07/15/2025 08:34:18 UTC,47
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 14: Papouškové lázně,11/16/2025 11:00:08 UTC,47
Nová vlna,Hanuš Hackenschmied – U ledové víly | Kapitola 1: O třech princeznách v Modré hoře,10/05/2025 10:00:12 UTC,45
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 6: Plavba paní Suchánkové do Ameriky,08/03/2025 10:00:40 UTC,43
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 7: O Valdštejnském paláci,10/05/2025 10:00:25 UTC,43
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 9: Paladium země České,10/19/2025 10:00:22 UTC,43
Pestrá země,Jan Křesadlo – Václav Z. J. Pinkava | Pestrá země,12/24/2025 09:00:00 UTC,40
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 3.,09/13/2025 10:00:36 UTC,39
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 13: O domě vusínském aneb redutním,11/09/2025 11:00:13 UTC,39
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 10: Dva starobylé domy malostranské,10/26/2025 11:00:24 UTC,38
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 12: Pražské písně lidu vojenského,11/02/2025 11:00:13 UTC,38
Mariánská listování,Mariánská listování  s Pavlem Suchanem - 8. díl,10/31/2025 03:00:33 UTC,36
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 9: Jak vraždila rakouská byrokracie naše nejlepší lidi,08/23/2025 10:00:59 UTC,35
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 15: Dopis z roku 1819,11/23/2025 11:00:38 UTC,35
Pestrá země,"Mouchy, Maribor a fotbalové metafory – Dora Kaprálová | Pestrá země",04/23/2026 09:40:50 UTC,35
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 7: Podivuhodný příběh Karla Straširybky,08/10/2025 10:00:48 UTC,34
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 4.,09/22/2025 03:00:58 UTC,34
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 8: Duch nebožtíka Hroudy,08/17/2025 10:00:15 UTC,33
Mariánská listování,Mariánská listování s Michalem Brožou - 10. díl,01/21/2026 10:01:11 UTC,33
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 17: Nejkrásnější knihovna světa,12/07/2025 11:00:21 UTC,31
Pestrá země,"Literatura, jazyky a cestování – Miroslav Černý | Pestrá země",10/15/2025 07:44:55 UTC,30
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 24: O čtyřech oběšencích,01/25/2026 11:00:35 UTC,30
Pestrá země,Arnošt Lustig 100 let – Eva Lustigová | Pestrá země: Rozhovor ke 100. výročí,05/15/2026 01:36:18 UTC,30
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 16: Panna Maria kontra Jiří z Poděbrad,11/30/2025 11:00:28 UTC,29
Poezie v rytmu,Splav – Fráňa Šrámek | Mozaika české poezie: Příběhy a obrazy,03/12/2026 08:10:01 UTC,28
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 33: Kocourkovské příběhy,03/29/2026 10:00:08 UTC,28
Pestrá země,Literární rezidence a alternativní scéna – Hana Ludíková | Pestrá země,12/17/2025 12:14:04 UTC,27
Nová vlna,Domovní důvěrník 2.0 – Jiří Krišpin | Z-ai-mavý spisovatel,02/08/2026 11:00:49 UTC,26
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 29: Blahořečení Jana Nepomuckého,03/01/2026 11:00:42 UTC,26
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 30: Rychtář Vavák vidí korunovaci Leopolda II.,03/08/2026 11:00:42 UTC,25
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 31: O té velké vodě,03/15/2026 11:00:26 UTC,25
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 32: Praha 1855,03/22/2026 11:00:16 UTC,25
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 19: O nebožce lotynce,12/21/2025 11:00:38 UTC,24
Mariánská listování,Mariánská listování s manželi Tichotovými - 9. díl,12/08/2025 06:00:29 UTC,24
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 27: Zpěváčkové,02/15/2026 11:00:48 UTC,24
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 28: Jak přijel do Prahy první vlak,02/22/2026 11:00:23 UTC,24
Mariánská listování,Mariánská listování: Česká škola v Chicagu - 5. díl,10/29/2025 03:00:05 UTC,23
Nová vlna,Hledání slov – Jana Šindlerová | Z-ai-mavý spisovatel,02/22/2026 11:00:51 UTC,23
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 20: Vánoce! Vánoce!,12/29/2025 11:47:05 UTC,22
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 21: O městských privilegiích,01/04/2026 11:00:16 UTC,22
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 26: Pražská móda empírová,02/08/2026 11:00:52 UTC,22
Nová vlna,Přiznání algoritmu – Michaela Liegertová | Z-ai-mavý spisovatel,02/08/2026 11:00:33 UTC,22
Poezie v rytmu,Lesní studánka – Josef Václav Sládek | Mozaika české poezie: Příběhy a obrazy,03/11/2026 09:23:40 UTC,22
Poezie v rytmu,Poštovní schránka – Jiří Wolker | Mozaika české poezie: Příběhy a obrazy,03/12/2026 06:36:08 UTC,22
Mariánská listování,Mariánská listování s Evou Chodějovskou - 4. díl,10/28/2025 03:00:21 UTC,21
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 23: Móda ve středověké Praze,01/18/2026 11:00:05 UTC,21
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 25: Život vojenský – život veselý,02/01/2026 11:00:14 UTC,21
Nová vlna,Květiny se nevrací – Markéta Fryaufová | Z-ai-mavý spisovatel,03/03/2026 10:00:01 UTC,21
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 18: Jak byl obnovován magistrát,12/14/2025 11:00:45 UTC,20
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 22: Nejkrásnější hřbitůvek,01/11/2026 11:00:17 UTC,20
Nová vlna,Algoritmus kávy – Petr Šimeček | Z-ai-mavý spisovatel,02/15/2026 11:00:35 UTC,20
Mariánská listování,Mariánská listování s Janem Smigmatorem - 7. díl,10/30/2025 03:00:16 UTC,19
Nová vlna,Smyčka osudu – Michaela Liegertová | Z-ai-mavý zločin,06/17/2026 10:00:15 UTC,18
Poezie v rytmu,Ruce – Otokar Březina | Mozaika české poezie: Hlasy a otázky,03/25/2026 11:00:31 UTC,17
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 34: Bombardování Prahy Windischgrätzem,04/05/2026 10:00:15 UTC,17
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 37: Pět zajímavých epitafů,04/26/2026 10:00:30 UTC,17
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 1: Cestou k jeskyni,05/25/2026 08:16:12 UTC,17
Pestrá země,"Kafka, poezie a vlastní jazyk – Alžběta Stančáková: | Pestrá země",06/16/2026 09:01:55 UTC,17
Poezie v rytmu,Svou violu jsem naladil co možno nejhlouběji – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,03/12/2026 06:59:10 UTC,16
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 35: Zlatá bula ztracena a opět nalezena,04/12/2026 10:00:29 UTC,16
Poezie v rytmu,Devátá vlna – Viktor Dyk | Mozaika české poezie: Hlasy a otázky,05/26/2026 12:45:53 UTC,16
Nová vlna,"Karel Hádek – Čtení o staré Praze | Kapitola 36: Seance, nebo senzace?",04/20/2026 02:13:57 UTC,15
Poezie v rytmu,Za noci březnové – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,04/09/2026 01:00:27 UTC,15
Poezie v rytmu,Z věčných dálek – Otokar Březina | Mozaika české poezie: Hlasy a otázky,05/06/2026 10:00:55 UTC,15
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 6: V devonu,06/07/2026 10:00:42 UTC,14
Pestrá země,Fónická poezie a autofikce – Pavel Novotný | Pestrá země,04/23/2026 09:39:48 UTC,13
Nová vlna,Podivnější než fikce – Vendula Kreplová | Z-ai-mavý zločin,06/10/2026 10:00:12 UTC,13
Nová vlna,Rizikové povolání – Tereza Kovanicová | Z-ai-mavý zločin,06/04/2026 10:00:27 UTC,13
Mariánská listování,Mariánská listování s Ivanem Pušem - 13.díl,04/09/2026 10:51:22 UTC,12
Poezie v rytmu,Poutník – Otakar Theer | Mozaika české poezie: Hlasy a otázky,05/25/2026 08:48:14 UTC,12
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 4: Pohřbeni zaživa,05/31/2026 10:00:12 UTC,12
