PodcastName,Epizoda,Datum_publikování,YouTube_Zhlédnutí,RedCircle_Downloads,Celkové_využití
Nová vlna,Hanuš Hackenschmied – U ledové víly | Kapitola 1: O třech princeznách v Modré hoře,2025-10-05,169,47,216
Nová vlna,Hledání slov – Jana Šindlerová | Z-ai-mavý spisovatel,2026-02-22,64,24,88
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 1: Tři mrtvoly ve sklepě,2025-06-25,289,305,594
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 2: Boží prsty,2025-06-26,183,90,273
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 3: Chocholouš,2025-07-14,130,64,194
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 4: Ze zašlých dob,2025-07-21,291,87,378
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 5: Němá láska poručíka Klanga,2025-07-28,90,53,143
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 6: Plavba paní Suchánkové do Ameriky,2025-08-03,113,45,158
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 7: Podivuhodný příběh Karla Straširybky,2025-08-10,633,35,668
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 8: Duch nebožtíka Hroudy,2025-08-17,176,34,210
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 9: Jak vraždila rakouská byrokracie naše nejl...,2025-08-23,126,36,162
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 10: Dva starobylé domy malostranské,2025-10-26,153,39,192
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 11: Židovský průvod,2025-10-26,116,52,168
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 12: Pražské písně lidu vojenského,2025-11-02,94,39,133
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 13: O domě vusínském aneb redutním,2025-11-09,243,40,283
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 14: Papouškové lázně,2025-11-16,126,48,174
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 15: Dopis z roku 1819,2025-11-23,217,36,253
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 16: Panna Maria kontra Jiří z Poděbrad,2025-11-30,430,30,460
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 17: Nejkrásnější knihovna světa,2025-12-07,240,32,272
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 18: Jak byl obnovován magistrát,2025-12-14,170,21,191
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 19: O nebožce lotynce,2025-12-21,156,25,181
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 1: O kapli Betlémské,2025-09-26,474,85,559
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 20: Vánoce! Vánoce!,2025-12-29,144,23,167
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 21: O městských privilegiích,2026-01-04,925,23,948
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 22: Nejkrásnější hřbitůvek,2026-01-11,170,21,191
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 23: Móda ve středověké Praze,2026-01-18,194,22,216
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 24: O čtyřech oběšencích,2026-01-25,441,31,472
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 25: Život vojenský – život veselý,2026-02-01,225,22,247
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 26: Pražská móda empírová,2026-02-08,174,24,198
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 27: Zpěváčkové,2026-02-15,98,25,123
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 28: Jak přijel do Prahy první vlak,2026-02-22,91,25,116
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 29: Blahořečení Jana Nepomuckého,2026-03-01,84,28,112
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 2: Slavnost v Kanálské zahradě,2025-09-26,379,63,442
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 30: Rychtář Vavák vidí korunovaci Leopolda II.,2026-03-08,89,27,116
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 31: O té velké vodě,2026-03-15,124,27,151
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 32: Praha 1855,2026-03-22,123,27,150
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 33: Kocourkovské příběhy,2026-03-29,117,30,147
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 34: Bombardování Prahy Windischgrätzem,2026-04-05,131,20,151
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 35: Zlatá bula ztracena a opět nalezena,2026-04-12,102,18,120
Nová vlna,"Karel Hádek – Čtení o staré Praze | Kapitola 36: Seance, nebo senzace?",2026-04-20,80,18,98
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 37: Pět zajímavých epitafů,2026-04-26,97,21,118
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 38: Staropražan vypravuje,2026-06-28,276,12,288
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 3: O tandlmarku,2025-09-26,216,53,269
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 4: Pověsti o Staronové škole,2025-09-28,227,88,315
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 5: Barvířský ostrov,2025-09-28,174,58,232
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 6: Zahrady za Koňskou branou,2025-10-05,210,51,261
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 7: O Valdštejnském paláci,2025-10-05,176,46,222
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 8: Pražské Jezulátko,2025-10-12,322,54,376
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 9: Paladium země České,2025-10-19,136,44,180
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 1.,2025-08-30,558,68,626
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 2.,2025-08-30,397,68,465
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 2.,2025-09-06,0,50,50
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 3.,2025-08-30,285,68,353
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 3.,2025-09-13,0,40,40
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 4.,2025-08-30,230,68,298
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 4.,2025-09-22,0,35,35
Nová vlna,Květiny se nevrací – Markéta Fryaufová | Z-ai-mavý spisovatel,2026-03-03,0,23,23
Nová vlna,Podivnější než fikce – Vendula Kreplová | Z-ai-mavý zločin,2026-06-10,56,17,73
Nová vlna,Přiznání algoritmu – Michaela Liegertová | Z-ai-mavý spisovatel,2026-02-08,74,23,97
Nová vlna,Rizikové povolání – Tereza Kovanicová | Z-ai-mavý zločin,2026-06-04,49,18,67
Nová vlna,Smyčka osudu – Michaela Liegertová | Z-ai-mavý zločin,2026-06-17,48,23,71
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 10: O Platýze,2026-07-15,60,10,70
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 11: O domě U Křížku,2026-07-19,154,16,170
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 12: O domě U Betenglů,2026-07-19,61,7,68
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 13: O domě U Tří divých,2026-07-23,25,7,32
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 14: O kapli svatého Kříže,2026-07-23,78,10,88
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 15: O klášteře sv. Anny,2026-07-26,44,10,54
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 16: O zjevení templáře v Liliové ulici,2026-07-26,40,8,48
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 17: O staroměstských mlýnech,2026-07-29,14,6,20
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 18: O Králově lázni,2026-07-29,29,10,39
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 1: O Staroměstském náměstí,2026-07-01,76,14,90
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 2: O staroměstském orloji,2026-07-01,55,12,67
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 3: O chrámě Týnském,2026-07-01,67,8,75
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 4: O paláci Kinských,2026-07-01,61,12,73
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 5: O kostele svatojakubském,2026-07-08,84,8,92
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 6: O řeznících staroměstských,2026-07-08,61,6,67
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 7: O domě U Hrubého muže,2026-07-12,21,6,27
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 8: O Karolinu,2026-07-12,63,6,69
Nová vlna,Staré pověsti pražské – Adolf Wening | Povídka 9: O kotcích,2026-07-15,52,9,61
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 10: Objevuje se dvounožec,2026-06-28,38,10,48
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 11: První lidé,2026-07-05,23,6,29
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 12: Chlupatí kamarádi,2026-07-05,31,10,41
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 13: Pravěcí gladiátoři,2026-07-05,27,7,34
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 14: Lov na mamuta,2026-07-05,102,11,113
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 15: V pravěké obrazárně,2026-07-05,36,8,44
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 16: Hrůzy bílé smrti,2026-07-12,25,6,31
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 17: V nákolní osadě,2026-07-12,15,6,21
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 18: Na hranici,2026-07-12,19,5,24
Nová vlna,"V pravěkém světě – Arnošt Caha | Kapitola 19: Sbohem, pravěký světe",2026-07-12,15,6,21
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 1: Cestou k jeskyni,2026-05-25,118,21,139
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 20: Zpátky u maminky,2026-07-12,27,8,35
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 2: Na pravěkém hřbitově,2026-05-31,50,16,66
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 3: V pohádkovém světě,2026-05-31,56,17,73
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 4: Pohřbeni zaživa,2026-05-31,39,16,55
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 5: Na prahu pravěkého světa,2026-06-07,94,16,110
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 6: V devonu,2026-06-07,77,18,95
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 7: Ve světě karbonu,2026-06-26,107,12,119
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 8: Ve světě draků a příšer,2026-06-28,29,10,39
Nová vlna,V pravěkém světě – Arnošt Caha | Kapitola 9: Obludy ještě nezmizely,2026-06-28,28,9,37
Pestrá země,Arnošt Lustig 100 let – Eva Lustigová | Pestrá země: Rozhovor ke 100. výročí,2026-05-15,306,38,344
Pestrá země,Fónická poezie a autofikce – Pavel Novotný | Pestrá země,2026-04-23,241,16,257
Pestrá země,Jan Křesadlo – Václav Z. J. Pinkava | Pestrá země,2025-12-24,282,43,325
Pestrá země,"Kafka, poezie a vlastní jazyk  – Alžběta Stančáková:  | Pestrá země",2026-06-16,234,21,255
Pestrá země,"Literatura, jazyky a cestování – Miroslav Černý | Pestrá země",2025-10-15,308,33,341
Pestrá země,Literární rezidence a alternativní scéna – Hana Lundiaková | Pestrá země,2025-12-17,143,33,176
Pestrá země,"Mouchy, Maribor a fotbalové metafory – Dora Kaprálová | Pestrá země",2026-04-23,254,40,294
Poezie v rytmu,A přece! – Otokar Fischer | Mozaika české poezie: Hlasy a otázky,2026-06-18,54,12,66
Poezie v rytmu,Apostrofa zimní – Otokar Březina | Mozaika české poezie: Hlasy a otázky,2026-04-22,114,11,125
Poezie v rytmu,Balada dětská – Jan Neruda | Mozaika české poezie: Příběhy a obrazy,2026-03-25,147,11,158
Poezie v rytmu,Galantní slavnost – Karel Toman | Mozaika české poezie: Hlasy a otázky,2026-07-22,29,5,34
Poezie v rytmu,Já nejsem vichr – Otokar Fischer | Mozaika české poezie: Hlasy a otázky,2026-06-18,60,9,69
Poezie v rytmu,Lesní studánka – Josef Václav Sládek | Mozaika české poezie: Příběhy a obrazy,2026-03-11,972,23,995
Poezie v rytmu,Lucifer – Jiří Karásek ze Lvovic | Mozaika české poezie: Hlasy a otázky,2026-05-26,101,12,113
Poezie v rytmu,Poutník – Otakar Theer | Mozaika české poezie: Hlasy a otázky,2026-05-25,90,14,104
Poezie v rytmu,Poštovní schránka – Jiří Wolker | Mozaika české poezie: Příběhy a obrazy,2026-03-12,486,24,510
Poezie v rytmu,Práce – Josef Hora | Mozaika české poezie: Příběhy a obrazy,2026-04-22,123,9,132
Poezie v rytmu,Pršelo v noci – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,2026-04-09,150,11,161
Poezie v rytmu,Ruce – Otokar Březina | Mozaika české poezie: Hlasy a otázky,2026-03-25,143,18,161
Poezie v rytmu,Soumrak u moře – Viktor Dyk | Mozaika české poezie: Hlasy a otázky,2026-05-26,152,19,171
Poezie v rytmu,Splav – Fráňa Šrámek | Mozaika české poezie: Příběhy a obrazy,2026-03-12,484,29,513
Poezie v rytmu,Svou violu jsem naladil co možno nejhlouběji – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,2026-03-12,315,18,333
Poezie v rytmu,Toman a lesní panna – František Ladislav Čelakovský | Mozaika české poezie: Příběhy a obrazy,2026-05-27,216,14,230
Poezie v rytmu,Z věčných dálek – Otokar Březina | Mozaika české poezie: Hlasy a otázky,2026-05-06,137,17,154
Poezie v rytmu,Za noci březnové – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,2026-04-09,148,17,165
Poezie v rytmu,Žlutá růže – Viktor Dyk | Mozaika české poezie: Hlasy a otázky,2026-07-22,67,8,75
