Obsah,Název videa,Čas zveřejnění videa,Délka,Zhlédnutí
Celkem,,,,10274
qUNq-foQEHQ,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 7: Podivuhodný příběh Karla Straširybky,"Aug 15, 2025",1487,619
VVUPQPEsE2g,Karel Poláček – Čtrnáct dní na vojně | Část 1.,"Aug 30, 2025",1433,451
Nuj2OJc-uv4,Karel Hádek – Čtení o staré Praze | Kapitola 16: Panna Maria kontra Jiří z Poděbrad,"Nov 30, 2025",439,387
 -IwTZm_R5S4,Mariánská listování s manželi Tichotovými,"Dec 8, 2025",3566,377
DQt62kFZ11I,Karel Poláček – Čtrnáct dní na vojně | Část 2.,"Sep 6, 2025",1330,364
yPe7nxIwb7E,Mariánská listování s Helenou Koutnou,"Jun 30, 2025",1650,352
hoTzA-Fb2c0,Karel Hádek – Čtení o staré Praze | Kapitola 2: Slavnost v Kanálské zahradě,"Sep 26, 2025",513,330
QZbFYVq709k,Visiolibrum – Umění ve virtuální galerii,"Jun 23, 2025",1127,325
KYpcek7QPFY,Karel Hádek – Čtení o staré Praze | Kapitola 1: O kapli Betlémské,"Sep 26, 2025",893,317
L15ImNClsn8,Mariánská listování s Ivanou Bozděchovou,"Jul 14, 2025",2912,305
57YYqkTp23k,Karel Hádek – Čtení o staré Praze | Kapitola 8: Pražské Jezulátko,"Oct 12, 2025",702,290
m7jS3vfTbr8,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 4: Ze zašlých dob,"Aug 15, 2025",2789,270
vyBd7nzLoG0,Pestrá země: Miroslav Černý,"Oct 13, 2025",1715,269
uQGvTZSqxb0,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 1: Tři mrtvoly ve sklepě,"Aug 15, 2025",1099,254
9SBF4GO_QhM,Karel Poláček – Čtrnáct dní na vojně | Část 3.,"Sep 13, 2025",1250,252
x9s2pglzA8Y,Karel Hádek – Čtení o staré Praze | Kapitola 13: O domě vusínském aneb redutním,"Nov 9, 2025",452,224
WKwwjbq3GV0,Karel Poláček – Čtrnáct dní na vojně | Část 4.,"Sep 22, 2025",1237,207
lKfxKZTVHzE,Virtuální realita a prevence kriminality – Missing 10 Hours,"Jul 21, 2025",1519,206
ofLrbidTUik,Mariánská listování: Česká škola v Chicagu,"Sep 1, 2025",2470,203
HFtm9FvXsaU,Karel Hádek – Čtení o staré Praze | Kapitola 6: Zahrady za Koňskou branou,"Oct 5, 2025",580,191
aO9IwLwZrMs,Karel Hádek – Čtení o staré Praze | Kapitola 4: Pověsti o Staronové škole,"Sep 28, 2025",568,188
NlUN6_OqCc4,Karel Hádek – Čtení o staré Praze | Kapitola 17: Nejkrásnější knihovna světa,"Dec 7, 2025",579,186
6KlLyNPsbdk,Karel Hádek – Čtení o staré Praze | Kapitola 3: O tandlmarku,"Sep 26, 2025",777,181
0KNr2DOZalM,Karel Hádek – Čtení o staré Praze | Kapitola 15: Dopis z roku 1819,"Nov 23, 2025",820,179
Vxebi-BnYh4,Mariánská listování s Rudym Linkou,"Sep 8, 2025",3136,179
soerao-Racs,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 2: Boží prsty,"Aug 15, 2025",642,167
_VAzd9St5aI,Virtuální město: trénink paměti a kognitivních funkcí pro seniory,"Oct 29, 2025",1460,163
wmdeM6zx9Ds,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 8: Duch nebožtíka Hroudy,"Aug 18, 2025",641,163
qrhzr3ZhuWE,MLP HUB: Virtuální knihovna v Praze ve VRChat,"Sep 29, 2025",2921,150
sF9A4D-OZvc,Hanuš Hackenschmied – U ledové víly | Kapitola 1: O třech princeznách v Modré hoře,"Oct 5, 2025",2705,145
Y_zv4fFP4kU,Karel Hádek – Čtení o staré Praze | Kapitola 7: O Valdštejnském paláci,"Oct 5, 2025",775,143
gdtJ97T8Kf8,Karel Hádek – Čtení o staré Praze | Kapitola 5: Barvířský ostrov,"Sep 28, 2025",620,143
0e1mFrmPUcg,Virtuální realita v tréninku náročné komunikace,"Aug 25, 2025",2380,141
as-bcT6bn6c,Mariánská listování s Pavlem Suchanem,"Oct 21, 2025",2599,135
ukwDA_rTcKo,Pestrá země: O Janu Křesadlovi s Václavem Z. J. Pinkavou,"Dec 24, 2025",3024,125
PW2RprOSYgM,Karel Hádek – Čtení o staré Praze | Kapitola 18: Jak byl obnovován magistrát,"Dec 14, 2025",657,121
OcSPbpkVr7g,Karel Hádek – Čtení o staré Praze | Kapitola 10: Dva starobylé domy malostranské,"Oct 26, 2025",895,117
H6bRm_nc4pk,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 9: Jak vraždila rakouská byrokracie naše nejl...,"Aug 23, 2025",497,112
jFXRfxhuNVs,Karel Hádek – Čtení o staré Praze | Kapitola 9: Paladium země České,"Oct 19, 2025",482,112
1kvk95w0Qjs,Mariánská listování s Janem Smigmatorem,"Sep 23, 2025",2242,111
2zi5mkm5e4Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 6: Plavba paní Suchánkové do Ameriky,"Aug 15, 2025",1207,105
QUby9009nkw,Karel Hádek – Čtení o staré Praze | Kapitola 14: Papouškové lázně,"Nov 16, 2025",522,99
S2evx5SdTcU,Pestrá země: Hana Lundiaková,"Dec 5, 2025",1358,96
G6J-4Mg-FkE,Karel Hádek – Čtení o staré Praze | Kapitola 19: O nebožce lotynce,"Dec 21, 2025",968,95
6GhXoPfo5P4,Karel Hádek – Čtení o staré Praze | Kapitola 11: Židovský průvod,"Oct 26, 2025",685,93
BUGJAYMkz2I,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 3: Chocholouš,"Aug 15, 2025",589,90
sj34fxvAXEY,Rehabilitace ve virtuální realitě,"Nov 20, 2025",1327,84
m3TgaugXTRY,Mariánská listování s Evou Chodějovskou,"Aug 18, 2025",2344,82
G23iqulol6Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 5: Němá láska poručíka Klanga,"Aug 15, 2025",1287,79
0nwGiePljtg,Karel Hádek – Čtení o staré Praze | Kapitola 12: Pražské písně lidu vojenského,"Nov 2, 2025",597,64
tSSFpdBACYM,Karel Hádek – Čtení o staré Praze | Kapitola 20: Vánoce! Vánoce!,"Dec 29, 2025",705,58
2-7AMKqBPdg,Virtuální realita: Open Brush – malování v 3D prostoru,"Dec 22, 2025",2672,39
p81-DGUXFtI,Nacistická propaganda v ČSR,"Dec 2, 2025",1580,38
t04WykqxoOA,Samostatná Ukrajina,"Dec 2, 2025",1473,33
Usb5zLIREWY,Byl Adolf Hitler komunista?,"Dec 2, 2025",1037,26
areKoQHEVZc,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,"Dec 2, 2025",1351,16
e_fEn3QC264,Temná druhá republika,"Dec 2, 2025",1318,13
8AgXCEb7maU,Poslední svobodné volby,"Dec 2, 2025",1432,10
